epoch,constellation,prn,sat_id,C1,C2,C5,C6,C7,C8,D1,D2,D5# /,D6,D7,D8,L1,L1_LLI,L1_SSI,L2,L2_LLI,L2_SSI,L5,L5_LLI,L5_SSI,L6,L7,L8# /,P2,S1,S2,S5,S6,S7,S8,L6_LLI,L6_SSI,L7_LLI,L7_SSI,L8# /_LLI,L8# /_SSI
2025-11-25 15:00:00,E,6,E06,24012180.22,,24012185.72,24012181.56,24012182.88,24012183.58,195.497,,145.981,158.687,149.809,147.886,126184840.166,4.0,9.0,,,,94228946.954,0.0,9.0,102422765.128,96687090.777,95458017.087,,54.7,,54.0,55.85,56.3,57.6,0.0,9.0,0.0,9.0,0.0,9.0
2025-11-25 15:00:00,E,9,E09,24512667.06,,24512672.86,24512669.32,24512669.24,24512670.2,913.871,,682.444,741.802,700.25,691.367,128814908.689,4.0,8.0,,,,96192969.827,0.0,8.0,104557568.265,98702338.868,97447650.568,,53.05,,53.7,54.0,55.65,56.95,0.0,9.0,0.0,9.0,0.0,9.0
2025-11-25 15:00:00,E,10,E10,27729220.9,,27729234.34,27729228.64,27729229.46,27729230.66,-2781.614,,-2077.353,-2257.966,-2131.478,-2104.327,145718022.48,4.0,6.0,,,,108815298.258,0.0,6.0,118277516.674,111653935.22,110234616.955,,36.4,,38.55,40.85,41.8,42.65,0.0,6.0,0.0,6.0,0.0,7.0
2025-11-25 15:00:00,E,11,E11,25455046.6,,25455052.22,25455047.92,25455048.8,25455049.92,-2554.651,,-1907.649,-2073.623,-1957.481,-1932.545,133767094.272,4.0,7.0,,,,99890977.583,0.0,7.0,108577155.783,102496833.825,101193914.428,,42.85,,43.8,44.2,44.95,46.9,0.0,7.0,0.0,7.0,0.0,7.0
2025-11-25 15:00:00,E,19,E19,,,,,27700313.6,27700315.68,,,,,-1202.515,-1187.383,,,,,,,,,,,111537680.258,110119674.014,,,,,,35.0,35.7,,,0.0,5.0,0.0,5.0
2025-11-25 15:00:00,E,23,E23,25330875.3,,25330882.52,25330878.44,25330879.2,25330880.1,-718.784,,-536.662,-583.347,-550.697,-543.648,133114668.812,4.0,8.0,,,,99403855.975,0.0,8.0,108047644.075,101996988.846,100700416.13,,51.25,,51.65,52.8,53.55,54.9,0.0,8.0,0.0,8.0,0.0,9.0
2025-11-25 15:00:00,E,31,E31,24477595.2,,24477602.18,24477596.6,24477598.92,24477599.9,1800.243,,1344.361,1461.251,1379.44,1361.891,128630675.209,4.0,8.0,,,,96055428.654,0.0,8.0,104408026.76,98561203.525,97308312.311,,53.4,,52.6,54.0,54.95,56.15,0.0,9.0,0.0,9.0,0.0,9.0
2025-11-25 15:00:00,E,36,E36,26197338.1,,26197346.12,26197341.4,26197342.78,26197343.9,-922.971,,-689.214,-749.07,-707.092,-698.169,137667895.279,4.0,7.0,,,,102803935.654,0.0,7.0,111743401.693,105485768.105,104144850.105,,46.4,,47.4,47.95,49.85,50.95,0.0,7.0,0.0,8.0,0.0,8.0
2025-11-25 15:00:00,G,1,G01,23918365.84,23918368.08,23918374.44,,,,-107.953,-84.119,-80.524,,,,125691850.035,0.0,7.0,97941695.45,0.0,6.0,93860813.059,0.0,7.0,,,,23918367.88,42.35,40.75,46.05,,,,,,,,,
2025-11-25 15:00:00,G,2,G02,24409931.04,,,,,,-1403.102,-1093.328,,,,,128274967.46,0.0,7.0,99954501.696,0.0,6.0,,,,,,,24409931.44,42.25,41.95,,,,,,,,,,
2025-11-25 15:00:00,G,3,G03,24193888.52,24193893.72,24193894.8,,,,3487.423,2717.472,2604.334,,,,127139741.646,0.0,6.0,99069950.95,0.0,6.0,94942049.335,0.0,7.0,,,,24193893.3,39.0,39.6,45.05,,,,,,,,,
2025-11-25 15:00:00,G,10,G10,22011045.14,22011048.54,22011049.02,,,,-2949.95,-2298.665,-2202.802,,,,115668790.385,0.0,8.0,90131517.891,0.0,8.0,86376048.217,0.0,8.0,,,,22011048.76,50.75,50.7,51.7,,,,,,,,,
2025-11-25 15:00:00,G,25,G25,22539734.28,22539738.9,22539741.06,,,,-2413.22,-1880.435,-1802.015,,,,118447088.487,0.0,7.0,92296451.542,0.0,7.0,88450768.064,0.0,7.0,,,,22539738.38,46.55,46.3,46.4,,,,,,,,,
2025-11-25 15:00:00,G,26,G26,21682760.08,21682764.5,21682764.8,,,,3058.526,2383.271,2283.908,,,,113943729.022,0.0,8.0,88787363.884,0.0,8.0,85087903.332,0.0,9.0,,,,21682764.4,51.7,51.75,55.4,,,,,,,,,
2025-11-25 15:00:00,G,28,G28,20830512.06,20830512.02,20830517.22,,,,-1040.328,-810.646,-776.871,,,,109465071.495,0.0,8.0,85297456.107,0.0,8.0,81743417.74,0.0,9.0,,,,20830511.8,52.05,51.85,57.9,,,,,,,,,
2025-11-25 15:00:00,G,31,G31,20601385.2,20601384.5,,,,,840.021,654.562,,,,,108261038.583,0.0,8.0,84359267.486,0.0,8.0,,,,,,,20601384.08,52.55,52.45,,,,,,,,,,
2025-11-25 15:00:00,G,32,G32,21464725.04,21464727.44,21464727.94,,,,-564.224,-439.656,-421.335,,,,112797863.922,0.0,9.0,87894438.691,0.0,9.0,84232173.078,0.0,8.0,,,,21464727.1,54.95,54.95,53.45,,,,,,,,,
2025-11-25 15:00:10,E,6,E06,24011808.64,,24011814.14,24011809.98,24011811.3,24011812.0,195.146,,145.682,158.378,149.469,147.568,126182887.497,4.0,9.0,,,,94227488.79,0.0,8.0,102421180.168,96685594.574,95456539.904,,54.7,,53.9,55.75,55.6,58.25,0.0,9.0,0.0,9.0,0.0,9.0
2025-11-25 15:00:10,E,9,E09,24510927.98,,24510933.78,24510930.24,24510930.18,24510931.12,913.913,,682.529,741.835,700.298,691.394,128805769.846,4.0,8.0,,,,96186145.374,0.0,8.0,104550150.384,98695336.388,97440737.102,,52.95,,53.6,53.95,55.05,57.7,0.0,8.0,0.0,9.0,0.0,9.0
2025-11-25 15:00:10,E,10,E10,27734513.3,,27734526.72,27734521.14,27734521.9,27734523.08,-2780.122,,-2076.178,-2256.82,-2130.45,-2103.348,145745833.83,4.0,6.0,,,,108836066.347,0.0,6.0,118300090.737,111675245.125,110255655.961,,36.0,,37.9,40.2,41.1,43.0,0.0,6.0,0.0,6.0,0.0,7.0
2025-11-25 15:00:10,E,11,E11,25459908.9,,25459914.54,25459910.22,25459911.1,25459912.24,-2555.427,,-1908.159,-2074.106,-1957.954,-1933.134,133792645.624,4.0,7.0,,,,99910058.093,0.0,7.0,108597895.49,102516412.095,101213243.82,,42.95,,43.3,44.0,44.35,47.4,0.0,7.0,0.0,7.0,0.0,7.0
2025-11-25 15:00:10,E,19,E19,27703291.6,,,,27703301.4,27703303.02,-1569.154,,,,-1202.896,-1188.046,145581780.084,5.0,5.0,,,,,,,,111549707.931,110131548.825,,31.8,,,,34.35,36.75,,,0.0,5.0,0.0,6.0
2025-11-25 15:00:10,E,23,E23,25332247.1,,25332254.34,25332250.24,25332251.02,25332251.9,-723.004,,-539.927,-586.854,-554.022,-547.021,133121877.733,4.0,8.0,,,,99409239.265,0.0,8.0,108053495.476,102002512.569,100705869.639,,51.45,,51.45,52.8,52.8,55.55,0.0,8.0,0.0,8.0,0.0,9.0
