timestamp_utc,gnssId,svId,freqId,numWords,chn,dwrd_00,dwrd_01,dwrd_02,dwrd_03,dwrd_04,dwrd_05,dwrd_06,dwrd_07,dwrd_08,dwrd_09
2025-09-28T23:00:17.000278+00:00,0,4,0,10,0,583094790,113101113,354680965,2620278720,88412759,1040963910,2836135331,121980475,1940,6242072
2025-09-28T23:00:17.000278+00:00,0,16,0,10,3,583094790,113101113,354680864,472795113,2235896446,3188447599,688650829,2416264751,4727,62592503
2025-09-28T23:00:17.000278+00:00,0,9,0,10,2,583094790,113101113,354680864,472795113,2235896446,3188447599,688635990,2458207770,2147486325,2557901223
2025-09-28T23:00:17.000278+00:00,0,7,0,10,1,583094790,113101113,354680864,472795113,2235896446,3188447599,688650829,2340767266,2151674655,1028022840
2025-09-28T23:00:22.000279+00:00,0,4,0,10,0,583094790,2260593272,125730158,2343009790,2581145827,1052409960,857434672,68790339,53044179,88481743
2025-09-28T23:00:22.000279+00:00,0,16,0,10,3,583094790,2260593272,268527675,217762120,1033464396,23052799,492687097,2224728179,52820238,2235965200
2025-09-28T23:00:22.000279+00:00,0,9,0,10,2,583094790,2260593272,314461756,199361914,3133765939,1048707170,3004968427,66922608,54918709,2235965251
2025-09-28T23:00:22.000279+00:00,0,7,0,10,1,583094790,2260593272,197097327,222175893,2907758190,3211231893,2332717335,64825463,56339306,2235965251
2025-09-28T23:00:27.000280+00:00,0,4,0,10,0,583094790,2260601620,381139,1014076791,543195,502592111,121446860,836456677,3219814207,121912028
2025-09-28T23:00:27.000280+00:00,0,16,0,10,3,583094790,2260601620,1072948970,2467250756,1313279,83582810,2258815289,2717804809,3219759923,272380688
2025-09-28T23:00:27.000280+00:00,0,9,0,10,2,583094790,2260601620,1073647704,398303178,3221096939,241248221,2268943499,442945459,1072317626,2458124304
2025-09-28T23:00:27.000280+00:00,0,7,0,10,1,583094790,2260601620,2612040,102712526,3219360179,797919460,120515415,547598291,1072357267,193062652
