Lat (deg),Lon (deg),Ellipsoid (m),Mean Sea Level (m),Accuracy (m),GNSS ID,SV ID,Pseudorange (m),Carrier Phase (cycles)
27.917385834,-82.350931349,-2.4797,25.4905,2.4273,2,7,24545322.712,128986578.565,
0,27,21773873.426,114422462.152,
0,31,23031869.405,121033313.812,
2,29,24031614.412,126287012.162,
3,33,26924008.650,140200380.780,
3,41,23368186.772,121684244.879,
3,34,25598645.877,133298850.746,
3,32,23354110.294,121610980.285,
3,37,25164698.983,131039214.281,
3,25,24031891.874,125140367.203,
6,12,23107974.033,123438758.376,
6,21,24512827.099,131173144.627,
6,8,19899173.762,106559162.579,
6,1,20935477.468,111912116.860,
6,20,24099353.787,128870070.750,
6,7,23099538.811,123653624.199,
1,133,38987979.942,204883216.885,
2,21,25492785.147,133965408.244,
2,8,28851938.325,151617894.498,
0,28,25008034.555,131418078.956,
3,43,25079880.151,130597509.789,
3,11,25433422.389,132438529.792,
3,49,25938719.429,135069616.114,
3,20,27312225.278,142221923.718,
6,11,20554380.443,109836376.990,
1,131,38129667.171,200372753.904,
1,135,38673030.004,203228142.358,
0,3,22899784.992,120339181.328,
0,7,25789010.193,135522162.400,
0,8,23201518.784,121924721.284,
2,14,28766212.423,151167487.748,
0,9,22977432.273,120747220.997,
3,33,26924060.259,105655809.781,
3,34,25598660.080,100454649.132,
2,7,24545335.900,96321159.202,
2,8,28851958.534,113221245.086,
2,29,24031622.060,94305245.953,
2,21,25492786.414,100039175.508,
3,41,23368205.347,91701864.560,
3,25,24031914.356,94306393.564,
3,32,23354107.848,91646545.613,
3,43,25079890.143,98418896.996,
3,37,25164723.372,98751776.883,
2,14,28766229.733,112884849.649,
27.917385520,-82.350931345,-2.4854,25.4849,2.4252,2,7,24546182.235,128991096.233,
0,27,21773247.263,114419171.265,
0,31,23032859.980,121038495.660,
2,29,24031483.602,126286294.705,
3,33,26925626.372,140208792.892,
3,41,23369394.022,121690532.094,
3,34,25598813.846,133299724.911,
3,32,23354159.698,121611210.401,
3,37,25164409.998,131037678.871,
3,25,24032892.522,125145577.598,
6,12,23107516.442,123436315.136,
6,21,24511970.178,131168559.778,
6,8,19900196.147,106564629.749,
6,1,20934866.350,111908816.654,
6,20,24098963.788,128867985.931,
6,7,23101471.453,123663969.239,
1,133,38988294.820,204884872.361,
2,21,25492461.372,133963698.104,
2,8,28853263.438,151624857.847,
0,28,25009136.944,131423838.924,
3,43,25079414.595,130595085.367,
3,11,25433164.488,132437185.813,
3,49,25938066.429,135066216.015,
3,20,27311430.206,142217783.450,
6,11,20554891.801,109839109.445,
1,131,38129981.876,200374407.166,
1,135,38673343.556,203229791.170,
0,3,22901015.137,120345647.541,
0,8,23200470.515,121919212.403,
2,14,28765876.312,151165720.990,
3,33,26925675.717,105662149.171,
3,34,25598828.111,100455307.882,
2,7,24546195.626,96324532.785,
2,8,28853283.615,113226444.963,
2,29,24031485.077,94304708.412,
2,21,25492460.915,100037898.419,
3,41,23369412.703,91706602.603,
3,25,24032916.268,94310324.768,
3,32,23354145.946,91646694.780,
3,43,25079424.450,98417069.934,
3,37,25164433.357,98750636.754,
2,14,28765893.506,112883530.312,
27.917385368,-82.350931534,-2.4874,25.4828,2.4218,2,7,24547042.261,128995614.925,
0,27,21772621.384,114415881.902,
0,31,23033855.118,121043677.593,
2,29,24031346.182,126285578.073,
3,33,26927241.600,140217204.608,
3,41,23370601.717,121696820.447,
3,34,25598982.077,133300600.433,
3,32,23354203.218,121611410.260,
3,37,25164125.723,131036165.755,
3,25,24033894.387,125150794.158,
6,12,23107058.565,123433872.759,
6,21,24511113.338,131163974.331,
6,8,19901219.253,106570099.723,
6,1,20934255.159,111905518.866,
6,20,24098574.020,128865902.630,
6,7,23103404.204,123674314.865,
0,16,20510025.088,107780908.389,
1,133,38988609.940,204886527.338,
2,21,25492136.959,133961988.725,
2,8,28854588.914,151631821.328,
0,28,25010238.697,131429599.383,
3,43,25078949.030,130592661.287,
3,11,25432906.812,132435842.768,
3,49,25937413.310,135062815.251,
3,20,27310636.010,142213647.757,
6,11,20555405.951,109841856.460,
1,131,38130296.388,200376060.169,
1,135,38673657.465,203231439.709,
0,3,22902245.470,120352114.729,
0,8,23199422.303,121913703.693,
2,14,28765539.729,151163952.595,
3,33,26927291.209,105668488.235,
3,34,25598996.255,100455967.704,
2,7,24547055.346,96327907.120,
2,8,28854608.777,113231644.940,
2,29,24031345.930,94304163.138,
2,21,25492135.531,100036621.955,
3,41,23370620.213,91711341.531,
3,25,24033918.461,94314257.644,
3,32,23354184.438,91646845.406,
3,43,25078959.146,98415243.158,
3,37,25164143.596,98749496.811,
2,14,28765557.030,112882209.747,
27.917385167,-82.350931607,-2.4784,25.4918,2.4184,
