timestamp_utc,gnssId,svId,freqId,numWords,chn,dwrd_00,dwrd_01,dwrd_02,dwrd_03,dwrd_04,dwrd_05,dwrd_06,dwrd_07,dwrd_08,dwrd_09
,0,10,0,10,0,583094790,2457397596,354680864,485369035,138872106,2188030493,2606236025,2718830634,2151674100.0,778068659.0
,0,10,0,10,64,2334778526,958523765,4117955558,4290949120,84931199,3224207739,553844479,1140849923,1387845715.0,223916705.0
2025-09-30T15:02:49.000310+00:00,0,24,0,10,13,583094790,2457397596,354680864,485369035,138872106,2188030493,2606236025,2433617964,6717.0,3064008124.0
2025-09-30T15:02:49.000310+00:00,2,33,0,8,71,276561919,589823,4294836224,17969234,2313308447,4162852497,3142723948,3527933952,,
2025-09-30T15:02:49.000310+00:00,0,23,0,10,3,583094790,2457406024,335487339,186332700,433500327,1061159049,3161561069,2181605444,56277360.0,235935176.0
2025-09-30T15:02:54.000313+00:00,2,33,0,8,7,297662546,2583845861,950223022,607338496,2740881555,4058169514,2863293129,2408300544,,
2025-09-30T15:02:54.000313+00:00,0,27,0,10,68,2339247262,1095889269,4126738382,4294234113,4294574208,38559753,1379683209,1543783047,3832819365.0,2287515338.0
2025-09-30T15:02:59.000316+00:00,0,18,0,10,2,583094790,2457414592,555900,943565134,2147977705,2843080017,2292474540,10287148,1072298463.0,285298243.0
2025-09-30T15:02:59.000316+00:00,0,27,0,10,4,583094790,2457414592,1072738378,3054753637,3219065217,3106391444,120670380,761511696,1072318852.0,176008432.0
2025-09-30T15:02:59.000316+00:00,0,32,0,10,69,2340463774,1227506952,2105344149,1285553603,318158848,2463540241,725623726,2331422734,441714002.0,2160637963.0
2025-09-30T15:02:59.000316+00:00,2,7,0,8,72,439003818,2863311530,2863367169,542800108,972655871,455081984,1073744221,3267887104,,
2025-09-30T15:03:04.000319+00:00,0,10,0,10,64,2334700702,1367149578,1636469272,657408150,279379954,2685689852,2034247342,1074948351,3479444310.0,3338187422.0
2025-09-30T15:03:04.000319+00:00,0,15,0,10,9,583094790,2457422972,500041758,2525809365,2480100078,2374862866,2526335514,2483850618,2370571114.0,2458812419.0
2025-09-30T15:03:04.000319+00:00,0,18,0,10,2,583094790,2457422972,500041758,2525809365,2480100078,2374862866,2526335514,2483850618,2370571114.0,2458812419.0
2025-09-30T15:03:09.000322+00:00,2,33,0,8,7,9786709,1431655765,1431655765,1430831104,2645542433,380647594,2863298620,415940608,,
2025-09-30T15:03:09.000322+00:00,0,10,0,10,0,583094790,2457431540,341507177,2562919222,3209871370,2822990828,825052086,3018480472,424314113.0,2197807440.0
2025-09-30T15:03:09.000322+00:00,2,19,0,8,70,87157995,2689285659,1074462209,2913371823,3707894154,2758727434,2863311163,1039138816,,
2025-09-30T15:03:09.000322+00:00,0,23,0,10,67,2338186398,1499524469,4103098115,2150748161,3994025091,134078447,553844479,1140849923,1375733866.0,2870523361.0
2025-09-30T15:03:14.000324+00:00,2,7,0,8,8,35574275,2388806101,1984513514,1738866688,2181914779,1437937557,4124330021,243335168,,
2025-09-30T15:03:14.000324+00:00,0,23,0,10,3,583094790,2457438652,354680965,2632852706,2286355715,40546868,458767293,2479755284,3216.0,302642731.0
2025-09-30T15:03:14.000324+00:00,0,27,0,10,4,583094790,2457438652,354680864,485369035,138872106,2188030493,2606235946,2320371766,2151677295.0,1059124567.0
2025-09-30T15:03:19.000327+00:00,0,10,0,10,64,2334786718,1629612405,4117955558,4290949120,3321903436,1867007343,4276710400,1606754337,3875367415.0,415806090.0
