gnssId,svId,freqId,numWords,chn,dwrd_00,dwrd_01,dwrd_02,dwrd_03,dwrd_04,dwrd_05,dwrd_06,dwrd_07,dwrd_08,dwrd_09,dwrd_10,dwrd_11,dwrd_12,dwrd_13,dwrd_14,dwrd_15
0,28,0,10,2,2339497939,2591651194,325048434,2150502401,3960470019,939319273,268435202,1056243715,1627392622.0,1873327905.0,,,,,,
2,19,0,8,75,33619754,2278951400,3299389800,3118497792,2229485568,42,2863286091,557793280,,,,,,,,
2,19,0,16,103,723959023,201651825,469262647,141169345,1334296699,1282057438,79489926,314788969,469417196.0,3951475949.0,1334123515.0,201804904.0,1630930111.0,4102310099.0,881312469.0,2281701376.0
0,23,0,10,63,583098639,525240639,370409500,34190498,2535827512,48810563,1053965226,2161625304,2820.0,329707123.0,,,,,,
2,33,0,8,71,117440511,4261412865,308306313,3796598784,3178135552,42,2863297263,738967552,,,,,,,,
2,19,0,16,103,723959023,201651825,469262647,141169345,1334296699,1282057438,79489926,314788969,469417196.0,3951475949.0,1334123515.0,201804904.0,1630930111.0,4102310099.0,881312469.0,2281701376.0
2,12,0,16,101,723959023,201651825,469262647,141169345,1334296699,1282057438,79489926,314788969,469417196.0,3951475949.0,1334123515.0,201804904.0,1630930111.0,4102310099.0,881312469.0,2281701376.0
2,27,0,8,22,466050040,3204874234,341,1431655765,1431655765,1431655765,1431653188,143392768,,,,,,,,
0,28,0,10,58,583098639,525249111,310382904,220006880,992240530,2150105119,223578038,2207524956,58939042.0,2545601219.0,,,,,,
2,12,0,16,101,723959023,201651825,469262647,141169345,1334296699,1282057438,79489926,314788969,469417196.0,3951475949.0,1334123515.0,201804904.0,1630930111.0,4102310099.0,881312469.0,2281701376.0
0,32,0,10,3,2340464595,2838242845,4270129425,18874002,3268696064,1239084634,1461200282,4208375178,3718920074.0,3864573963.0,,,,,,
2,12,0,16,101,723959023,201651825,469262647,141169345,1334296699,1282057438,79489926,314788969,469417196.0,3951475949.0,1334123515.0,201804904.0,1630930111.0,4102310099.0,881312469.0,2281701376.0
2,12,0,8,73,9786709,1431655765,1431655765,1434796032,3081781248,42,2863294110,4093591552,,,,,,,,
0,12,0,10,62,583098639,525257511,1072780126,3175875927,1073416644,72665516,122179515,539158451,1072301548.0,360300835.0,,,,,,
2,29,0,8,70,9786709,1431655765,1431655765,1434796032,3081828049,50447402,2863297796,3687563264,,,,,,,,
2,12,0,8,17,79694222,805265775,4294920193,2902652511,3422675722,3267090314,2863311475,24379392,,,,,,,,
2,19,0,8,75,9786709,1431655765,1431655765,1434796032,3081846784,42,2863290566,2189377536,,,,,,,,
2,29,0,8,70,16865536,3430797976,1681461,2852438016,2714826628,4057460074,2863290533,1275772928,,,,,,,,
