nBlocks,blockId,jammingState,antStatus,antPower,postStatus,noisePerMS,agcCnt,cwSuppression,ofsI,magI,ofsQ,magQ,rfBlockGnssBand
3,0,0,2,1,16908288,0,0,3,10,232,251,247,1
3,1,0,2,1,16908288,0,0,2,247,164,254,171,4
3,2,0,2,1,16908288,0,0,6,249,202,1,226,2
3,0,0,2,1,16908288,0,0,3,10,235,250,250,1
3,1,0,2,1,16908288,0,0,2,247,170,254,175,4
3,2,0,2,1,16908288,0,0,6,249,202,1,225,2
3,0,0,2,1,16908288,0,0,6,11,230,249,244,1
3,1,0,2,1,16908288,0,0,2,247,165,254,172,4
3,2,0,2,1,16908288,0,0,7,249,201,0,224,2
3,0,0,2,1,16908288,0,0,3,10,235,250,250,1
3,1,0,2,1,16908288,0,0,2,247,169,254,177,4
3,2,0,2,1,16908288,0,0,8,250,202,0,228,2
3,0,0,2,1,16908288,0,0,4,10,234,250,250,1
3,1,0,2,1,16908288,0,0,2,247,166,254,173,4
3,2,0,2,1,16908288,0,0,5,249,207,1,230,2
3,0,0,2,1,16908288,0,0,4,10,231,250,244,1
3,1,0,2,1,16908288,0,0,2,248,177,254,183,4
3,2,0,2,1,16908288,0,0,6,249,203,1,227,2
3,0,0,2,1,16908288,0,0,5,10,230,250,246,1
3,1,0,2,1,16908288,0,0,2,248,165,254,172,4
3,2,0,2,1,16908288,0,0,5,249,200,0,223,2
3,0,0,2,1,16908288,0,0,4,9,249,250,255,1
3,1,0,2,1,16908288,0,0,3,247,200,254,208,4
3,2,0,2,1,16908288,0,0,5,248,252,1,255,2
3,0,0,2,1,16908288,0,0,5,10,230,251,247,1
3,1,0,2,1,16908288,0,0,2,248,164,254,170,4
3,2,0,2,1,16908288,0,0,5,249,203,0,229,2
3,0,0,2,1,16908288,0,0,4,10,229,250,245,1
3,1,0,2,1,16908288,0,0,2,247,181,254,189,4
3,2,0,2,1,16908288,0,0,7,249,199,0,222,2
3,0,0,2,1,16908288,0,0,5,9,231,250,248,1
3,1,0,2,1,16908288,0,0,2,248,166,255,174,4
3,2,0,2,1,16908288,0,0,6,248,197,1,222,2
3,0,0,2,1,16908288,0,0,4,10,231,250,244,1
3,1,0,2,1,16908288,0,0,2,247,173,254,182,4
3,2,0,2,1,16908288,0,0,6,248,194,0,219,2
3,0,0,2,1,16908288,0,0,5,10,233,250,249,1
3,1,0,2,1,16908288,0,0,2,248,168,255,174,4
3,2,0,2,1,16908288,0,0,8,249,201,0,227,2
3,0,0,2,1,16908288,0,0,3,10,231,250,245,1
3,1,0,2,1,16908288,0,0,2,248,173,255,181,4
3,2,0,2,1,16908288,0,0,6,249,194,1,219,2
3,0,0,2,1,16908288,0,0,5,9,229,251,246,1
3,1,0,2,1,16908288,0,0,2,247,162,254,168,4
3,2,0,2,1,16908288,0,0,5,250,194,1,219,2
3,0,0,2,1,16908288,0,0,5,10,230,250,245,1
3,1,0,2,1,16908288,0,0,2,247,169,254,174,4
3,2,0,2,1,16908288,0,0,7,249,191,0,217,2
3,0,0,2,1,16908288,0,0,4,10,232,250,246,1
3,1,0,2,1,16908288,0,0,2,248,164,253,171,4
3,2,0,2,1,16908288,0,0,7,249,204,0,227,2
3,0,0,2,1,16908288,0,0,5,10,229,250,244,1
3,1,0,2,1,16908288,0,0,2,247,171,253,180,4
3,2,0,2,1,16908288,0,0,8,248,198,1,224,2
3,0,0,2,1,16908288,0,0,4,11,228,251,244,1
3,1,0,2,1,16908288,0,0,2,247,163,253,170,4
3,2,0,2,1,16908288,0,0,6,249,199,0,223,2
3,0,0,2,1,16908288,0,0,5,10,232,250,247,1
3,1,0,2,1,16908288,0,0,2,248,178,254,189,4
3,2,0,2,1,16908288,0,0,7,248,200,0,226,2
3,0,0,2,1,16908288,0,0,4,10,229,251,245,1
3,1,0,2,1,16908288,0,0,2,247,174,254,180,4
3,2,0,2,1,16908288,0,0,12,248,205,0,230,2
3,0,0,2,1,16908288,0,0,4,10,229,251,245,1
3,1,0,2,1,16908288,0,0,2,247,180,253,187,4
3,2,0,2,1,16908288,0,0,19,249,201,0,227,2
3,0,0,2,1,16908288,0,0,4,10,231,251,245,1
3,1,0,2,1,16908288,0,0,2,248,169,254,174,4
3,2,0,2,1,16908288,0,0,8,249,204,0,228,2
3,0,0,2,1,16908288,0,0,4,10,228,251,244,1
3,1,0,2,1,16908288,0,0,2,247,202,253,217,4
3,2,0,2,1,16908288,0,0,14,249,205,1,228,2
3,0,0,2,1,16908288,0,0,5,10,230,251,243,1
3,1,0,2,1,16908288,0,0,2,247,171,253,179,4
3,2,0,2,1,16908288,0,0,10,248,203,0,227,2
3,0,0,2,1,16908288,0,0,4,8,231,251,248,1
3,1,0,2,1,16908288,0,0,2,247,195,254,208,4
3,2,0,2,1,16908288,0,0,9,249,200,1,225,2
3,0,0,2,1,16908288,0,0,3,9,231,251,244,1
3,1,0,2,1,16908288,0,0,2,248,170,253,178,4
3,2,0,2,1,16908288,0,0,10,248,204,0,227,2
3,0,0,2,1,16908288,0,0,4,10,232,251,247,1
3,1,0,2,1,16908288,0,0,2,247,190,253,203,4
3,2,0,2,1,16908288,0,0,6,248,201,1,225,2
3,0,0,2,1,16908288,0,0,5,9,233,252,249,1
3,1,0,2,1,16908288,0,0,2,247,169,253,177,4
3,2,0,2,1,16908288,0,0,7,248,201,0,224,2
3,0,0,2,1,16908288,0,0,4,9,227,251,241,1
3,1,0,2,1,16908288,0,0,2,246,198,254,209,4
3,2,0,2,1,16908288,0,0,7,248,198,0,223,2
3,0,0,2,1,16908288,0,0,5,10,235,251,249,1
3,1,0,2,1,16908288,0,0,2,247,175,253,184,4
3,2,0,2,1,16908288,0,0,8,248,206,0,230,2
3,0,0,2,1,16908288,0,0,3,9,228,251,242,1
3,1,0,2,1,16908288,0,0,2,247,196,253,206,4
3,2,0,2,1,16908288,0,0,8,249,202,0,226,2
3,0,0,2,1,16908288,0,0,5,9,231,251,248,1
3,1,0,2,1,16908288,0,0,2,247,177,253,183,4
3,2,0,2,1,16908288,0,0,7,249,207,0,229,2
3,0,0,2,1,16908288,0,0,5,9,230,250,244,1
3,1,0,2,1,16908288,0,0,2,247,204,253,215,4
3,2,0,2,1,16908288,0,0,7,248,209,1,232,2
3,0,0,2,1,16908288,0,0,5,10,237,251,250,1
3,1,0,2,1,16908288,0,0,2,247,182,253,188,4
3,2,0,2,1,16908288,0,0,7,249,210,1,235,2
3,0,0,2,1,16908288,0,0,5,10,228,250,245,1
3,1,0,2,1,16908288,0,0,3,247,206,253,217,4
3,2,0,2,1,16908288,0,0,5,248,197,1,217,2
3,0,0,2,1,16908288,0,0,5,9,231,252,244,1
3,1,0,2,1,16908288,0,0,2,247,174,253,183,4
3,2,0,2,1,16908288,0,0,5,248,199,1,223,2
3,0,0,2,1,16908288,0,0,4,10,226,252,242,1
3,1,0,2,1,16908288,0,0,2,247,215,254,233,4
3,2,0,2,1,16908288,0,0,6,248,199,1,222,2
3,0,0,2,1,16908288,0,0,4,9,234,251,247,1
3,1,0,2,1,16908288,0,0,2,248,175,253,184,4
3,2,0,2,1,16908288,0,0,5,249,201,0,225,2
3,0,0,2,1,16908288,0,0,4,10,234,251,249,1
3,1,0,2,1,16908288,0,0,2,247,225,253,240,4
3,2,0,2,1,16908288,0,0,7,249,218,1,240,2
3,0,0,2,1,16908288,0,0,4,9,228,251,245,1
3,1,0,2,1,16908288,0,0,2,248,175,253,184,4
3,2,0,2,1,16908288,0,0,5,248,201,0,224,2
3,0,0,2,1,16908288,0,0,3,9,229,251,244,1
3,1,0,2,1,16908288,0,0,2,247,208,254,222,4
3,2,0,2,1,16908288,0,0,6,249,201,0,227,2
3,0,0,2,1,16908288,0,0,3,9,231,251,245,1
3,1,0,2,1,16908288,0,0,2,248,180,253,189,4
3,2,0,2,1,16908288,0,0,5,249,202,0,226,2
3,0,0,2,1,16908288,0,0,4,10,238,250,250,1
3,1,0,2,1,16908288,0,0,3,248,210,254,223,4
3,2,0,2,1,16908288,0,0,5,249,208,0,234,2
3,0,0,2,1,16908288,0,0,4,9,231,252,247,1
3,1,0,2,1,16908288,0,0,2,248,175,253,182,4
3,2,0,2,1,16908288,0,0,5,249,209,1,232,2
3,0,0,2,1,16908288,0,0,5,9,236,251,250,1
3,1,0,2,1,16908288,0,0,2,248,236,253,249,4
3,2,0,2,1,16908288,0,0,5,249,228,1,251,2
3,0,0,2,1,16908288,0,0,3,9,245,252,255,1
3,1,0,2,1,16908288,0,0,2,247,196,253,203,4
3,2,0,2,1,16908288,0,0,5,248,227,1,250,2
3,0,0,2,1,16908288,0,0,3,10,229,251,245,1
3,1,0,2,1,16908288,0,0,2,248,222,253,235,4
3,2,0,2,1,16908288,0,0,4,249,207,0,231,2
3,0,0,2,1,16908288,0,0,5,10,233,251,248,1
3,1,0,2,1,16908288,0,0,2,248,180,254,191,4
3,2,0,2,1,16908288,0,0,5,248,207,1,232,2
3,0,0,2,1,16908288,0,0,4,10,223,251,239,1
3,1,0,2,1,16908288,0,0,1,248,212,254,222,4
3,2,0,2,1,16908288,0,0,4,249,199,1,224,2
3,0,0,2,1,16908288,0,0,4,10,243,252,255,1
3,1,0,2,1,16908288,0,0,4,248,192,254,201,4
3,2,0,2,1,16908288,0,0,5,248,213,1,237,2
3,0,0,2,1,16908288,0,0,5,9,235,251,252,1
3,1,0,2,1,16908288,0,0,3,248,255,255,255,4
3,2,0,2,1,16908288,0,0,5,248,219,1,244,2
3,0,0,2,1,16908288,0,0,4,9,240,251,254,1
3,1,0,2,1,16908288,0,0,3,248,200,254,208,4
3,2,0,2,1,16908288,0,0,5,249,219,0,244,2
