epoch,constellation,prn,sat_id,C1,C2,C5,C6,C7,C8,D1,D2,D5# /,D6,D7,D8,L1,L1_LLI,L1_SSI,L2,L5,L5_LLI,L5_SSI,L6,L6_LLI,L6_SSI,L7,L7_LLI,L7_SSI,L8# /,L8# /_LLI,L8# /_SSI,P2,S1,S2,S5,S6,S7,S8
2025-11-25 15:00:00.000000,E,6,E06,24012180.22,,24012185.72,24012181.56,24012182.88,24012183.58,195.497,,145.981,158.687,149.809,147.886,126184840.166,4,9,,94228946.954,0,9,102422765.128,0,9,96687090.777,0,9,95458017.087,0,9,,54.7,,54,55.85,56.3,57.6
2025-11-25 15:00:00.000000,E,9,E09,24512667.06,,24512672.86,24512669.32,24512669.24,24512670.2,913.871,,682.444,741.802,700.25,691.367,128814908.689,4,8,,96192969.827,0,8,104557568.265,0,9,98702338.868,0,9,97447650.568,0,9,,53.05,,53.7,54,55.65,56.95
2025-11-25 15:00:00.000000,E,10,E10,27729220.9,,27729234.34,27729228.64,27729229.46,27729230.66,-2781.614,,-2077.353,-2257.966,-2131.478,-2104.327,145718022.48,4,6,,108815298.258,0,6,118277516.674,0,6,111653935.22,0,6,110234616.955,0,7,,36.4,,38.55,40.85,41.8,42.65
2025-11-25 15:00:00.000000,E,11,E11,25455046.6,,25455052.22,25455047.92,25455048.8,25455049.92,-2554.651,,-1907.649,-2073.623,-1957.481,-1932.545,133767094.272,4,7,,99890977.583,0,7,108577155.783,0,7,102496833.825,0,7,101193914.428,0,7,,42.85,,43.8,44.2,44.95,46.9
2025-11-25 15:00:00.000000,E,19,E19,,,,,27700313.6,27700315.68,,,,,-1202.515,-1187.383,,,,,,,,,,,111537680.258,0,5,110119674.014,0,5,,,,,,35,35.7
2025-11-25 15:00:00.000000,E,23,E23,25330875.3,,25330882.52,25330878.44,25330879.2,25330880.1,-718.784,,-536.662,-583.347,-550.697,-543.648,133114668.812,4,8,,99403855.975,0,8,108047644.075,0,8,101996988.846,0,8,100700416.13,0,9,,51.25,,51.65,52.8,53.55,54.9
2025-11-25 15:00:00.000000,E,31,E31,24477595.2,,24477602.18,24477596.6,24477598.92,24477599.9,1800.243,,1344.361,1461.251,1379.44,1361.891,128630675.209,4,8,,96055428.654,0,8,104408026.76,0,9,98561203.525,0,9,97308312.311,0,9,,53.4,,52.6,54,54.95,56.15
2025-11-25 15:00:00.000000,E,36,E36,26197338.1,,26197346.12,26197341.4,26197342.78,26197343.9,-922.971,,-689.214,-749.07,-707.092,-698.169,137667895.279,4,7,,102803935.654,0,7,111743401.693,0,7,105485768.105,0,8,104144850.105,0,8,,46.4,,47.4,47.95,49.85,50.95
2025-11-25 15:00:10.000000,E,6,E06,24011808.64,,24011814.14,24011809.98,24011811.3,24011812,195.146,,145.682,158.378,149.469,147.568,126182887.497,4,9,,94227488.79,0,8,102421180.168,0,9,96685594.574,0,9,95456539.904,0,9,,54.7,,53.9,55.75,55.6,58.25
2025-11-25 15:00:10.000000,E,9,E09,24510927.98,,24510933.78,24510930.24,24510930.18,24510931.12,913.913,,682.529,741.835,700.298,691.394,128805769.846,4,8,,96186145.374,0,8,104550150.384,0,8,98695336.388,0,9,97440737.102,0,9,,52.95,,53.6,53.95,55.05,57.7
2025-11-25 15:00:10.000000,E,10,E10,27734513.3,,27734526.72,27734521.14,27734521.9,27734523.08,-2780.122,,-2076.178,-2256.82,-2130.45,-2103.348,145745833.83,4,6,,108836066.347,0,6,118300090.737,0,6,111675245.125,0,6,110255655.961,0,7,,36,,37.9,40.2,41.1,43
2025-11-25 15:00:10.000000,E,11,E11,25459908.9,,25459914.54,25459910.22,25459911.1,25459912.24,-2555.427,,-1908.159,-2074.106,-1957.954,-1933.134,133792645.624,4,7,,99910058.093,0,7,108597895.49,0,7,102516412.095,0,7,101213243.82,0,7,,42.95,,43.3,44,44.35,47.4
2025-11-25 15:00:10.000000,E,19,E19,27703291.6,,,,27703301.4,27703303.02,-1569.154,,,,-1202.896,-1188.046,145581780.084,5,5,,,,,,,,111549707.931,0,5,110131548.825,0,6,,31.8,,,,34.35,36.75
2025-11-25 15:00:10.000000,E,23,E23,25332247.1,,25332254.34,25332250.24,25332251.02,25332251.9,-723.004,,-539.927,-586.854,-554.022,-547.021,133121877.733,4,8,,99409239.265,0,8,108053495.476,0,8,102002512.569,0,8,100705869.639,0,9,,51.45,,51.45,52.8,52.8,55.55
2025-11-25 15:00:10.000000,E,31,E31,24474172.62,,24474179.58,24474174,24474176.32,24474177.3,1797.006,,1341.89,1458.545,1376.913,1359.384,128612689.472,4,8,,96041997.77,0,8,104393427.968,0,9,98547422.27,0,9,97294706.242,0,9,,53.4,,52.5,54,54.05,56.75
2025-11-25 15:00:10.000000,E,36,E36,26199098.06,,26199106.08,26199101.34,26199102.74,26199103.88,-926.957,,-692.104,-752.221,-710.146,-701.082,137677143.8,4,7,,102810841.982,0,7,111750908.584,0,7,105492854.605,0,8,104151846.515,0,8,,46.15,,47.35,47.9,49,51.65
2025-11-25 15:00:20.000000,E,6,E06,24011437.76,,24011443.26,24011439.08,24011440.4,24011441.12,194.635,,145.433,158.057,149.209,147.32,126180938.402,4,9,,94226033.287,0,9,102419598.102,0,9,96684101.102,0,9,95455065.416,0,9,,54.85,,54.4,55.65,54.9,57.45
2025-11-25 15:00:20.000000,E,9,E09,24509188.82,,24509194.62,24509191.06,24509191,24509191.96,913.944,,682.55,741.848,700.326,691.436,128796630.43,4,8,,96179320.487,0,9,104542732.025,0,8,98688333.459,0,9,97433823.193,0,9,,53.05,,54,53.85,54.4,56.85
2025-11-25 15:00:20.000000,E,10,E10,27739803.3,,27739816.74,27739811.28,27739811.96,27739813.14,-2779.642,,-2075.318,-2255.721,-2129.521,-2102.5,145773632.813,4,5,,108856825.241,0,6,118322654.763,0,6,111696545.557,0,6,110276685.622,0,7,,35.25,,38,39.35,40.6,42.05
2025-11-25 15:00:20.000000,E,11,E11,25464772.66,,25464778.3,25464774,25464774.86,25464776,-2556.096,,-1908.689,-2074.792,-1958.572,-1933.584,133818204.784,4,7,,99929144.449,0,7,108618641.547,0,7,102535996.365,0,7,101232579.123,0,7,,43.25,,43.6,43.95,43.65,46.45
2025-11-25 15:00:20.000000,E,19,E19,,,,,27706288.86,27706290.3,,,,,-1203.101,-1187.913,,,,,,,,,,,111561738.243,0,5,110143426.188,0,6,,,,,,33.75,36.25
2025-11-25 15:00:20.000000,E,23,E23,25333627.22,,25333634.44,25333630.34,25333631.14,25333632,-727.381,,-543.184,-590.397,-557.367,-550.316,133129130.218,4,8,,99414655.08,0,8,108059382.231,0,8,102008069.661,0,8,100711356.093,0,9,,51.7,,51.85,52.6,52,54.75
2025-11-25 15:00:20.000000,E,31,E31,24470756.38,,24470763.34,24470757.74,24470760.08,24470761.06,1793.556,,1339.365,1455.842,1374.305,1356.844,128594737.089,4,8,,96028591.791,0,8,104378856.239,0,8,98533666.566,0,8,97281125.4,0,9,,53.6,,53,53.9,53.25,55.95
2025-11-25 15:00:20.000000,E,36,E36,26200865.48,,26200873.5,26200868.76,26200870.16,26200871.3,-930.844,,-695.05,-755.443,-713.143,-704.109,137686431.592,4,7,,102817777.651,0,7,111758447.368,0,7,105499971.215,0,8,104158872.656,0,8,,46.4,,47.85,47.75,48.3,50.85
